challenges	species	sample	library_prep	platform	run_acc	replicate	biosample	sizes	file_contents	file_type	file_acc	paired_acc	file_url	paired_url	file_s3_uri	paired_s3_uri
1,2	human	WTC11	CapTrap	PacBio	ENCSR309IKK	1	ENCBS944CBA		reads	fastq	ENCFF105WIJ		https://www.encodeproject.org/files/ENCFF105WIJ/@@download/ENCFF105WIJ.fastq.gz		s3://encode-public/2021/03/26/a1d757f6-63c4-4af0-9333-387a9bbc6707/ENCFF105WIJ.fastq.gz	
1,2	human	WTC11	CapTrap	PacBio	ENCSR309IKK	1	ENCBS944CBA		subreads	bam	ENCFF028FCL		https://www.encodeproject.org/files/ENCFF028FCL/@@download/ENCFF028FCL.bam		s3://encode-public/2021/03/26/88f35ea1-5d40-4fd7-8313-89cb0b9d8f35/ENCFF028FCL.bam	
1,2	human	WTC11	CapTrap	PacBio	ENCSR309IKK	2	ENCBS593PKA		reads	fastq	ENCFF212HLP		https://www.encodeproject.org/files/ENCFF212HLP/@@download/ENCFF212HLP.fastq.gz		s3://encode-public/2021/03/26/beb999e2-691f-4f35-97c1-872a3ffb4c94/ENCFF212HLP.fastq.gz	
1,2	human	WTC11	CapTrap	PacBio	ENCSR309IKK	2	ENCBS593PKA		subreads	bam	ENCFF950ANU		https://www.encodeproject.org/files/ENCFF950ANU/@@download/ENCFF950ANU.bam		s3://encode-public/2021/03/26/f59bab56-3097-47ac-93d0-1d4cf3fdcf61/ENCFF950ANU.bam	
1,2	human	WTC11	CapTrap	PacBio	ENCSR309IKK	3	ENCBS474NOC		reads	fastq	ENCFF003QZT		https://www.encodeproject.org/files/ENCFF003QZT/@@download/ENCFF003QZT.fastq.gz		s3://encode-public/2021/03/26/0aae3633-b2d3-424b-8f4e-70828b77bbb9/ENCFF003QZT.fastq.gz	
1,2	human	WTC11	CapTrap	PacBio	ENCSR309IKK	3	ENCBS474NOC		subreads	bam	ENCFF508XUP		https://www.encodeproject.org/files/ENCFF508XUP/@@download/ENCFF508XUP.bam		s3://encode-public/2021/03/26/4d62d683-f374-4ea5-b888-c2a8efdc37fa/ENCFF508XUP.bam	
1,2	human	WTC11	CapTrap	ONT	ENCSR054ABL	1	ENCBS944CBA		reads	fastq	ENCFF654SNK		https://www.encodeproject.org/files/ENCFF654SNK/@@download/ENCFF654SNK.fastq.gz		s3://encode-public/2021/04/10/043dc82e-5c4a-471f-a879-6114cdb12b4f/ENCFF654SNK.fastq.gz	
1,2	human	WTC11	CapTrap	ONT	ENCSR054ABL	1	ENCBS944CBA		nanopore_signal	tar	ENCFF970AUV		https://www.encodeproject.org/files/ENCFF970AUV/@@download/ENCFF970AUV.tar.gz		s3://encode-public/2021/04/09/390b3600-6f60-483a-8fe8-15a96496e873/ENCFF970AUV.tar.gz	
1,2	human	WTC11	CapTrap	ONT	ENCSR054ABL	2	ENCBS593PKA		reads	fastq	ENCFF934KDM		https://www.encodeproject.org/files/ENCFF934KDM/@@download/ENCFF934KDM.fastq.gz		s3://encode-public/2021/04/10/bf3ccd70-7fe0-4c58-850c-e5333f344e33/ENCFF934KDM.fastq.gz	
1,2	human	WTC11	CapTrap	ONT	ENCSR054ABL	2	ENCBS593PKA		nanopore_signal	tar	ENCFF902FSA		https://www.encodeproject.org/files/ENCFF902FSA/@@download/ENCFF902FSA.tar.gz		s3://encode-public/2021/04/09/de97b48b-2797-4d78-b186-2f858952959c/ENCFF902FSA.tar.gz	
1,2	human	WTC11	CapTrap	ONT	ENCSR054ABL	3	ENCBS474NOC		reads	fastq	ENCFF104BNW		https://www.encodeproject.org/files/ENCFF104BNW/@@download/ENCFF104BNW.fastq.gz		s3://encode-public/2021/04/10/a83f5e2f-43e6-4e1e-aedc-2f17224d7229/ENCFF104BNW.fastq.gz	
1,2	human	WTC11	CapTrap	ONT	ENCSR054ABL	3	ENCBS474NOC		nanopore_signal	tar	ENCFF053QEQ		https://www.encodeproject.org/files/ENCFF053QEQ/@@download/ENCFF053QEQ.tar.gz		s3://encode-public/2021/04/10/dddc75de-7603-4627-9764-7cc9f1b69579/ENCFF053QEQ.tar.gz	
1,2	human	WTC11	dRNA	ONT	ENCSR392BGY	1	ENCBS944CBA		reads	fastq	ENCFF155CFF		https://www.encodeproject.org/files/ENCFF155CFF/@@download/ENCFF155CFF.fastq.gz		s3://encode-public/2021/04/07/6b54b9f1-6612-447c-8421-c7ad431063c6/ENCFF155CFF.fastq.gz	
